IN,DL,Etype
0.392258709,-0.5070426,1
0.392258709,-0.5070426,1
0.392258709,-0.5070426,1
-0.545173121,-0.5070426,1
5.079417858,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
0.860974624,-0.5070426,1
0.860974624,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
0.860974624,-0.5070426,1
0.860974624,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
2.267122369,-0.5070426,1
2.267122369,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
2.267122369,-0.5070426,1
2.267122369,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
2.735838284,-0.5070426,1
2.735838284,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
2.735838284,-0.5070426,1
3.204554199,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
1.329690539,-0.5070426,1
1.329690539,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
1.329690539,-0.5070426,1
1.329690539,-0.5070426,1
-0.545173121,1.958233491,1
1.329690539,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
0.860974624,-0.5070426,1
0.860974624,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
0.860974624,-0.5070426,1
0.860974624,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
1.329690539,-0.5070426,1
1.329690539,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
1.329690539,-0.5070426,1
1.329690539,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
1.329690539,-0.5070426,1
1.329690539,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
1.329690539,-0.5070426,1
1.329690539,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
0.392258709,-0.5070426,1
0.392258709,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
0.392258709,-0.5070426,1
0.392258709,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
0.392258709,-0.5070426,1
0.392258709,-0.5070426,1
0.392258709,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
0.860974624,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,1.958233491,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
-0.545173121,-0.5070426,1
